Category,Quote,Author
"Inspiration","THE ONLY LIMIT TO OUR REALIZATION OF TOMORROW WILL BE OUR DOUBTS OF TODAY.","Franklin D. Roosevelt"
"Perseverance","SUCCESS IS NOT FINAL FAILURE IS NOT FATAL IT IS THE COURAGE TO CONTINUE THAT COUNTS.","Winston Churchill"
"Change","BE THE CHANGE THAT YOU WISH TO SEE IN THE WORLD.","Mahatma Gandhi"
"Opportunity","IN THE MIDDLE OF DIFFICULTY LIES OPPORTUNITY.","Albert Einstein"
"Creativity","IMAGINATION IS MORE IMPORTANT THAN KNOWLEDGE.","Albert Einstein"
"Action","THE JOURNEY OF A THOUSAND MILES BEGINS WITH ONE STEP.","Lao Tzu"
"Individuality","TO BE YOURSELF IN A WORLD THAT IS TRYING TO MAKE YOU SOMETHING ELSE IS A GREAT ACCOMPLISHMENT.","Ralph Waldo Emerson"
"Courage","IT ALWAYS SEEMS IMPOSSIBLE UNTIL IT IS DONE.","Nelson Mandela"
"Leadership","DO NOT GO WHERE THE PATH MAY LEAD GO INSTEAD WHERE THERE IS NO PATH AND LEAVE A TRAIL.","Ralph Waldo Emerson"
"Growth","WHAT YOU GET BY ACHIEVING YOUR GOALS IS NOT AS IMPORTANT AS WHAT YOU BECOME BY ACHIEVING THEM.","Zig Ziglar"
"Faith","BELIEVE YOU CAN AND YOU ARE HALFWAY THERE.","Theodore Roosevelt"
"Loyalty","IN THE END WE WILL REMEMBER NOT THE WORDS OF OUR ENEMIES BUT THE SILENCE OF OUR FRIENDS.","Martin Luther King Jr."
"Passion","THE ONLY WAY TO DO GREAT WORK IS TO LOVE WHAT YOU DO.","Steve Jobs"
"Happiness","IF YOU WANT TO LIVE A HAPPY LIFE TIE IT TO A GOAL NOT TO PEOPLE OR THINGS.","Albert Einstein"
"Life","LIFE IS WHAT HAPPENS WHEN YOU ARE BUSY MAKING OTHER PLANS.","John Lennon"
"Destiny","IT IS DURING OUR DARKEST MOMENTS THAT WE MUST FOCUS TO SEE THE LIGHT.","Aristotle"
"Kindness","NO ACT OF KINDNESS NO MATTER HOW SMALL IS EVER WASTED.","Aesop"
"Knowledge","THE ONLY TRUE WISDOM IS IN KNOWING YOU KNOW NOTHING.","Socrates"
"Dreams","THE FUTURE BELONGS TO THOSE WHO BELIEVE IN THE BEAUTY OF THEIR DREAMS.","Eleanor Roosevelt"
"Patience","GENIUS IS ETERNAL PATIENCE.","Michelangelo"
"Wisdom","TURN YOUR WOUNDS INTO WISDOM.","Oprah Winfrey"
"Excellence","WE ARE WHAT WE REPEATEDLY DO EXCELLENCE THEN IS NOT AN ACT BUT A HABIT.","Aristotle"
"Strength","WHAT DOES NOT KILL US MAKES US STRONGER.","Friedrich Nietzsche"
"Freedom","FREEDOM LIES IN BEING BOLD.","Robert Frost"
"Hope","HOPE IS A WAKING DREAM.","Aristotle"
